ID_Usuario,Tipo_Prenda,Marca,Medida_Pecho_cm,Medida_Cintura_cm,Medida_Cadera_cm,Altura_cm,Peso_kg,Edad,Talla_Ropa_General,Talla_Zapatillas,Talla_Pantalones,Feedback_Ajuste
41,Vestido,Bershka,90,74,92,168,61,24,M,N/A,N/A,Perfecto
42,Zapatillas,Puma,N/A,N/A,N/A,174,69,26,N/A,39 EU,N/A,Perfecto
43,Camiseta,Calvin Klein,105,92,108,185,88,42,XL,N/A,N/A,Perfecto
44,Pantalón,Columbia,N/A,98,110,180,86,44,N/A,N/A,38x34,Perfecto
45,Vestido,Stradivarius,86,69,89,161,54,20,S,N/A,N/A,Perfecto
46,Zapatillas,Reebok,N/A,N/A,N/A,177,75,32,N/A,41 EU,N/A,Demasiado ajustado
47,Camiseta,Nike,100,88,102,178,79,35,L,N/A,N/A,Perfecto
48,Pantalón,Springfield Men,N/A,82,97,169,67,27,N/A,N/A,31x30,Demasiado grande
49,Vestido,Oysho,92,76,94,171,63,25,M,N/A,N/A,Perfecto
50,Zapatillas,Vans,N/A,N/A,N/A,186,90,28,N/A,45 EU,N/A,Perfecto
51,Camiseta,Zara,98,85,100,176,74,36,L,N/A,N/A,Perfecto
52,Pantalón,Levi's,N/A,90,105,181,80,38,N/A,N/A,33x32,Perfecto
53,Vestido,H&M,90,74,92,169,62,24,M,N/A,N/A,Perfecto
54,Zapatillas,Nike,N/A,N/A,N/A,175,70,31,N/A,43 EU,N/A,Demasiado ajustado
55,Camiseta,Hugo Boss,103,92,108,184,87,43,XL,N/A,N/A,Perfecto
56,Pantalón,Dockers,N/A,88,102,173,75,30,N/A,N/A,32x30,Demasiado grande
57,Vestido,Mango,87,70,90,162,56,21,S,N/A,N/A,Perfecto
58,Zapatillas,Clarks,N/A,N/A,N/A,180,78,48,N/A,42 EU,N/A,Perfecto
59,Camiseta,Springfield,95,80,97,172,69,27,L,N/A,N/A,Perfecto
60,Pantalón,Adidas,N/A,94,109,178,82,34,N/A,N/A,34x32,Perfecto
61,Vestido,Zara,93,77,95,170,64,26,M,N/A,N/A,Perfecto
62,Zapatillas,Puma,N/A,N/A,N/A,182,85,29,N/A,44 EU,N/A,Perfecto
63,Camiseta,Ralph Lauren,89,73,91,166,59,37,S,N/A,N/A,Demasiado ajustada
64,Pantalón,Massimo Dutti,N/A,86,101,177,76,40,N/A,N/A,33x30,Perfecto
65,Vestido,Pull&Bear,91,75,93,168,61,23,M,N/A,N/A,Perfecto
66,Zapatillas,Dr. Martens,N/A,N/A,N/A,176,72,30,N/A,40 EU,N/A,Demasiado ajustado
67,Camiseta,Levi's,101,89,104,179,80,35,XL,N/A,N/A,Perfecto
68,Pantalón,Nike,N/A,81,96,170,66,28,N/A,N/A,30x32,Perfecto
69,Vestido,Women'secret,85,68,88,160,55,20,S,N/A,N/A,Perfecto
70,Zapatillas,Vans,N/A,N/A,N/A,185,89,27,N/A,45 EU,N/A,Perfecto
71,Camiseta,Uniqlo,94,79,96,171,68,29,M,N/A,N/A,Perfecto
72,Pantalón,Zara Men,N/A,85,100,173,70,36,N/A,N/A,31x32,Demasiado ajustado
73,Vestido,Bimba y Lola,87,71,89,163,57,22,S,N/A,N/A,Perfecto
74,Zapatillas,New Balance,N/A,N/A,N/A,180,78,34,N/A,42 EU,N/A,Perfecto
75,Camiseta,Tommy Hilfiger,100,86,102,177,76,41,L,N/A,N/A,Demasiado grande
76,Pantalón,H&M Men,N/A,91,104,176,79,33,N/A,N/A,32x30,Perfecto
77,Vestido,Desigual,89,74,91,166,60,25,M,N/A,N/A,Perfecto
78,Zapatillas,Converse,N/A,N/A,N/A,183,88,30,N/A,44 EU,N/A,Perfecto
79,Camiseta,Adidas,96,82,98,174,71,28,L,N/A,N/A,Perfecto
80,Pantalón,Pull&Bear Men,N/A,83,98,172,69,26,N/A,N/A,30x32,Perfecto
81,Vestido,Bershka,92,76,94,169,63,24,M,N/A,N/A,Perfecto
82,Zapatillas,Puma,N/A,N/A,N/A,171,65,29,N/A,39 EU,N/A,Demasiado ajustado
83,Camiseta,Calvin Klein,91,77,93,168,64,39,M,N/A,N/A,Demasiado grande
84,Pantalón,Columbia,N/A,96,109,182,84,43,N/A,N/A,36x34,Perfecto
85,Vestido,Stradivarius,88,72,90,165,58,21,S,N/A,N/A,Perfecto
86,Zapatillas,Reebok,N/A,N/A,N/A,179,77,32,N/A,41 EU,N/A,Perfecto
87,Camiseta,Nike,104,91,106,183,86,37,XL,N/A,N/A,Perfecto
88,Pantalón,Springfield Men,N/A,87,102,175,73,30,N/A,N/A,32x30,Perfecto
89,Vestido,Oysho,94,78,96,173,65,26,L,N/A,N/A,Perfecto
90,Zapatillas,Vans,N/A,N/A,N/A,181,82,28,N/A,43 EU,N/A,Perfecto
91,Camiseta,Zara,90,75,92,167,61,25,M,N/A,N/A,Perfecto
92,Pantalón,Levi's,N/A,82,97,170,68,31,N/A,N/A,31x30,Demasiado ajustado
93,Vestido,H&M,91,76,94,169,63,23,M,N/A,N/A,Perfecto
94,Zapatillas,Nike,N/A,N/A,N/A,178,74,32,N/A,42 EU,N/A,Perfecto
95,Camiseta,Hugo Boss,99,86,101,177,78,36,L,N/A,N/A,Perfecto
96,Pantalón,Dockers,N/A,93,107,184,85,39,N/A,N/A,34x32,Demasiado grande
97,Vestido,Mango,86,69,89,161,54,20,S,N/A,N/A,Perfecto
98,Zapatillas,Clarks,N/A,N/A,N/A,174,68,47,N/A,39 EU,N/A,Perfecto
99,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
100,Pantalón,Adidas,N/A,89,103,177,76,34,L,N/A,N/A,Demasiado ajustada
101,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
102,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
103,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
104,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
105,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
106,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,N/A,44 EU,N/A,Perfecto
107,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
108,Pantalón,Nike,N/A,91,105,176,79,32,L,N/A,N/A,Demasiado ajustada
109,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
110,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,N/A,45 EU,N/A,Perfecto
111,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
112,Pantalón,Zara,N/A,84,99,171,67,26,N/A,N/A,30x30,Perfecto
113,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
114,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,N/A,40 EU,N/A,Perfecto
115,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
116,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,N/A,N/A,32x32,Perfecto
117,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
118,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,N/A,43 EU,N/A,Perfecto
119,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustada
120,Pantalón,Mango,N/A,90,104,177,78,34,M,N/A,N/A,Perfecto
121,Vestido,Uniqlo,97,80,98,173,67,29,L,N/A,N/A,Perfecto
122,Zapatillas,New Balance,N/A,N/A,N/A,181,84,31,N/A,44 EU,N/A,Perfecto
123,Camiseta,Tommy Hilfiger,102,90,105,182,83,37,XL,N/A,N/A,Perfecto
124,Pantalón,H&M Men,N/A,85,100,174,71,30,N/A,N/A,31x30,Perfecto
125,Vestido,Desigual,89,74,91,166,60,25,M,N/A,N/A,Demasiado grande
126,Zapatillas,Converse,N/A,N/A,N/A,179,77,29,N/A,42 EU,N/A,Perfecto
127,Camiseta,Adidas,95,81,97,171,68,28,M,N/A,N/A,Perfecto
128,Pantalón,Pull&Bear Men,N/A,92,106,178,80,35,N/A,N/A,34x32,Perfecto
129,Vestido,Bershka,88,72,90,165,58,22,S,N/A,N/A,Perfecto
130,Zapatillas,Puma,N/A,N/A,N/A,176,73,31,N/A,40 EU,N/A,Demasiado ajustado
131,Camiseta,Calvin Klein,100,86,101,177,76,36,L,N/A,N/A,Perfecto
132,Pantalón,Columbia,N/A,89,103,175,79,32,N/A,N/A,32x30,Perfecto
133,Vestido,Stradivarius,90,75,92,168,61,25,M,N/A,N/A,Perfecto
134,Zapatillas,Reebok,N/A,N/A,N/A,184,87,30,N/A,45 EU,N/A,Perfecto
135,Camiseta,Nike,93,78,95,170,66,26,M,N/A,N/A,Demasiado ajustada
136,Pantalón,Springfield Men,N/A,83,98,172,69,29,N/A,N/A,31x32,Perfecto
137,Vestido,Oysho,91,76,94,169,63,24,M,N/A,N/A,Perfecto
138,Zapatillas,Vans,N/A,N/A,N/A,186,90,28,N/A,46 EU,N/A,Perfecto
139,Camiseta,Zara,97,83,99,175,70,27,L,N/A,N/A,Perfecto
140,Pantalón,Levi's,N/A,80,95,168,65,31,N/A,N/A,30x30,Demasiado grande
141,Vestido,H&M,86,69,89,161,54,20,S,N/A,N/A,Perfecto
142,Zapatillas,Nike,N/A,N/A,N/A,173,69,26,N/A,39 EU,N/A,Perfecto
143,Camiseta,Hugo Boss,105,92,108,185,88,40,XL,N/A,N/A,Perfecto
144,Pantalón,Dockers,N/A,98,110,180,86,37,N/A,N/A,36x34,Perfecto
145,Vestido,Mango,94,78,96,171,64,28,L,N/A,N/A,Perfecto
146,Zapatillas,Clarks,N/A,N/A,N/A,178,75,32,N/A,41 EU,N/A,Demasiado ajustado
147,Camiseta,Springfield,89,74,91,166,60,23,M,N/A,N/A,Perfecto
148,Pantalón,Adidas,N/A,90,104,176,80,35,N/A,N/A,32x32,Perfecto
149,Vestido,Zara,87,71,89,163,57,21,S,N/A,N/A,Perfecto
150,Zapatillas,Puma,N/A,N/A,N/A,183,88,29,N/A,45 EU,N/A,Perfecto
151,Camiseta,Uniqlo,99,85,100,177,75,30,L,N/A,N/A,Perfecto
152,Pantalón,Zara Men,N/A,93,107,180,82,36,N/A,N/A,34x32,Perfecto
153,Vestido,Bimba y Lola,91,75,93,167,60,25,M,N/A,N/A,Perfecto
154,Zapatillas,New Balance,N/A,N/A,N/A,175,71,28,N/A,40 EU,N/A,Demasiado grande
155,Camiseta,Tommy Hilfiger,94,79,96,171,68,33,M,N/A,N/A,Perfecto
156,Pantalón,H&M Men,N/A,81,96,169,67,27,N/A,N/A,30x30,Demasiado ajustado
157,Vestido,Desigual,90,74,92,168,61,24,M,N/A,N/A,Perfecto
158,Zapatillas,Converse,N/A,N/A,N/A,182,85,31,N/A,44 EU,N/A,Perfecto
159,Camiseta,Adidas,101,88,103,179,79,35,L,N/A,N/A,Demasiado grande
160,Pantalón,Pull&Bear Men,N/A,87,102,173,70,29,N/A,N/A,32x30,Perfecto
161,Vestido,Bershka,85,68,88,160,55,20,S,N/A,N/A,Perfecto
162,Zapatillas,Puma,N/A,N/A,N/A,178,75,30,N/A,41 EU,N/A,Demasiado ajustado
163,Camiseta,Calvin Klein,104,91,106,183,86,41,XL,N/A,N/A,Perfecto
164,Pantalón,Columbia,N/A,95,108,177,80,37,N/A,N/A,36x32,Perfecto
165,Vestido,Stradivarius,88,72,90,165,58,22,S,N/A,N/A,Perfecto
166,Zapatillas,Reebok,N/A,N/A,N/A,180,82,32,N/A,43 EU,N/A,Perfecto
167,Camiseta,Nike,92,77,94,170,65,28,M,N/A,N/A,Perfecto
168,Pantalón,Springfield Men,N/A,84,99,171,67,26,N/A,N/A,31x32,Demasiado grande
169,Vestido,Oysho,90,75,92,168,61,25,M,N/A,N/A,Perfecto
170,Zapatillas,Vans,N/A,N/A,N/A,184,87,30,N/A,45 EU,N/A,Perfecto
171,Camiseta,Zara,96,82,98,174,69,27,L,N/A,N/A,Perfecto
172,Pantalón,Levi's,N/A,89,103,176,76,34,N/A,N/A,32x32,Demasiado ajustado
173,Vestido,H&M,93,77,95,170,64,24,M,N/A,N/A,Perfecto
174,Zapatillas,Nike,N/A,N/A,N/A,175,70,29,N/A,40 EU,N/A,Perfecto
175,Camiseta,Hugo Boss,100,86,101,177,78,35,L,N/A,N/A,Perfecto
176,Pantalón,Dockers,N/A,91,105,181,80,38,N/A,N/A,33x32,Perfecto
177,Vestido,Mango,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
178,Zapatillas,Clarks,N/A,N/A,N/A,178,75,49,N/A,42 EU,N/A,Perfecto
179,Camiseta,Springfield,98,84,100,176,72,29,L,N/A,N/A,Perfecto
180,Pantalón,Adidas,N/A,96,109,178,82,36,N/A,N/A,34x32,Perfecto
181,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
182,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
183,Camiseta,Ralph Lauren,91,76,93,169,63,25,M,N/A,N/A,Perfecto
184,Pantalón,Massimo Dutti,N/A,83,98,172,69,32,N/A,N/A,31x30,Perfecto
185,Vestido,Pull&Bear,89,73,91,166,60,23,S,N/A,N/A,Demasiado ajustada
186,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,31,N/A,44 EU,N/A,Perfecto
187,Camiseta,Levi's,103,90,105,182,83,37,XL,N/A,N/A,Perfecto
188,Pantalón,Nike,N/A,87,102,174,74,34,N/A,N/A,32x32,Perfecto
189,Vestido,Women'secret,86,70,89,162,56,21,S,N/A,N/A,Perfecto
190,Zapatillas,Vans,N/A,N/A,N/A,185,89,27,N/A,45 EU,N/A,Perfecto
191,Camiseta,Springfield,94,79,96,171,68,26,M,N/A,N/A,Perfecto
192,Pantalón,Zara,N/A,85,100,173,70,33,N/A,N/A,31x32,Demasiado grande
193,Vestido,Mango,90,74,92,168,61,24,M,N/A,N/A,Perfecto
194,Zapatillas,Guess,N/A,N/A,N/A,176,73,30,N/A,40 EU,N/A,Perfecto
195,Camiseta,H&M,97,83,99,175,70,27,L,N/A,N/A,Perfecto
196,Pantalón,Massimo Dutti,N/A,91,105,179,81,36,N/A,N/A,33x32,Perfecto
197,Vestido,Zara,92,76,94,169,63,25,M,N/A,N/A,Perfecto
198,Zapatillas,Adidas,N/A,N/A,N/A,184,87,32,N/A,46 EU,N/A,Perfecto
199,Camiseta,Springfield,88,72,90,165,58,22,S,N/A,N/A,Demasiado ajustada
200,Pantalón,Mango,N/A,80,95,170,68,31,N/A,N/A,30x30,Perfecto
201,Camiseta,Uniqlo,105,92,108,185,88,38,XL,N/A,N/A,Perfecto
202,Pantalón,Zara Men,N/A,95,109,183,86,40,N/A,N/A,36x34,Perfecto
203,Vestido,Bimba y Lola,93,77,95,170,66,27,M,N/A,N/A,Perfecto
204,Zapatillas,New Balance,N/A,N/A,N/A,177,75,31,N/A,41 EU,N/A,Demasiado ajustado
205,Camiseta,Tommy Hilfiger,90,75,92,168,62,25,M,N/A,N/A,Perfecto
206,Pantalón,H&M Men,N/A,82,97,169,67,28,N/A,N/A,30x32,Perfecto
207,Vestido,Desigual,87,71,89,163,57,22,S,N/A,N/A,Perfecto
208,Zapatillas,Converse,N/A,N/A,N/A,181,86,29,N/A,42 EU,N/A,Perfecto
209,Camiseta,Adidas,98,84,100,176,72,30,L,N/A,N/A,Perfecto
210,Pantalón,Pull&Bear Men,N/A,89,103,175,79,34,N/A,N/A,32x32,Demasiado grande
211,Vestido,Bershka,95,79,97,172,66,26,M,N/A,N/A,Perfecto
212,Zapatillas,Puma,N/A,N/A,N/A,180,81,32,N/A,43 EU,N/A,Perfecto
213,Camiseta,Calvin Klein,92,78,94,170,65,28,M,N/A,N/A,Perfecto
214,Pantalón,Columbia,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
215,Vestido,Stradivarius,89,73,91,166,60,23,S,N/A,N/A,Demasiado ajustada
216,Zapatillas,Reebok,N/A,N/A,N/A,183,88,31,N/A,44 EU,N/A,Perfecto
217,Camiseta,Nike,101,88,103,179,79,35,L,N/A,N/A,Perfecto
218,Pantalón,Springfield Men,N/A,91,105,176,76,34,N/A,N/A,33x32,Perfecto
219,Vestido,Oysho,86,70,89,162,56,21,S,N/A,N/A,Perfecto
220,Zapatillas,Vans,N/A,N/A,N/A,185,89,27,N/A,45 EU,N/A,Perfecto
221,Camiseta,Zara,94,79,96,171,68,29,M,N/A,N/A,Perfecto
222,Pantalón,Levi's,N/A,82,97,170,68,31,N/A,N/A,30x30,Demasiado grande
223,Vestido,H&M,91,76,94,169,63,24,M,N/A,N/A,Perfecto
224,Zapatillas,Nike,N/A,N/A,N/A,178,74,32,N/A,42 EU,N/A,Perfecto
225,Camiseta,Hugo Boss,99,86,101,177,78,36,L,N/A,N/A,Perfecto
226,Pantalón,Dockers,N/A,93,107,184,85,39,N/A,N/A,34x32,Perfecto
227,Vestido,Mango,86,69,89,161,54,20,S,N/A,N/A,Perfecto
228,Zapatillas,Clarks,N/A,N/A,N/A,174,68,47,N/A,39 EU,N/A,Perfecto
229,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
230,Pantalón,Adidas,N/A,89,103,177,76,34,N/A,N/A,32x32,Demasiado ajustada
231,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
232,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
233,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
234,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
235,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
236,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,N/A,44 EU,N/A,Perfecto
237,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
238,Pantalón,Nike,N/A,91,105,176,79,32,N/A,N/A,33x32,Demasiado ajustada
239,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
240,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,N/A,45 EU,N/A,Perfecto
241,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
242,Pantalón,Zara,N/A,84,99,171,67,26,N/A,N/A,30x30,Perfecto
243,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
244,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,N/A,40 EU,N/A,Perfecto
245,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
246,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,N/A,N/A,32x32,Perfecto
247,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
248,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,N/A,43 EU,N/A,Perfecto
249,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustada
250,Pantalón,Mango,N/A,90,104,177,78,34,M,N/A,N/A,Perfecto
251,Camiseta,Uniqlo,95,80,97,172,69,28,M,N/A,N/A,Perfecto
252,Pantalón,Zara Men,N/A,86,101,175,73,34,N/A,N/A,31x32,Perfecto
253,Vestido,Bimba y Lola,90,74,92,168,61,23,M,N/A,N/A,Perfecto
254,Zapatillas,New Balance,N/A,N/A,N/A,180,78,30,N/A,42 EU,N/A,Perfecto
255,Camiseta,Tommy Hilfiger,103,90,105,182,83,37,XL,N/A,N/A,Perfecto
256,Pantalón,H&M Men,N/A,85,100,174,71,30,N/A,N/A,32x30,Demasiado ajustado
257,Vestido,Desigual,91,75,93,167,60,26,M,N/A,N/A,Perfecto
258,Zapatillas,Converse,N/A,N/A,N/A,183,88,29,N/A,44 EU,N/A,Perfecto
259,Camiseta,Adidas,88,72,90,165,58,22,S,N/A,N/A,Demasiado grande
260,Pantalón,Pull&Bear Men,N/A,90,104,177,78,35,N/A,N/A,34x32,Perfecto
261,Vestido,Bershka,87,71,89,163,57,21,S,N/A,N/A,Perfecto
262,Zapatillas,Puma,N/A,N/A,N/A,176,73,26,N/A,40 EU,N/A,Perfecto
263,Camiseta,Calvin Klein,98,84,100,176,72,39,L,N/A,N/A,Perfecto
264,Pantalón,Columbia,N/A,92,106,179,81,42,N/A,N/A,34x32,Perfecto
265,Vestido,Stradivarius,85,68,88,160,55,20,S,N/A,N/A,Perfecto
266,Zapatillas,Reebok,N/A,N/A,N/A,179,77,31,N/A,41 EU,N/A,Demasiado ajustado
267,Camiseta,Nike,96,82,98,174,71,35,L,N/A,N/A,Perfecto
268,Pantalón,Springfield Men,N/A,87,102,175,73,30,N/A,N/A,32x30,Demasiado grande
269,Vestido,Oysho,94,78,96,173,65,25,M,N/A,N/A,Perfecto
270,Zapatillas,Vans,N/A,N/A,N/A,181,82,28,N/A,43 EU,N/A,Perfecto
271,Camiseta,Zara,90,75,92,167,61,25,M,N/A,N/A,Perfecto
272,Pantalón,Levi's,N/A,82,97,170,68,31,N/A,N/A,31x30,Demasiado ajustado
273,Vestido,H&M,91,76,94,169,63,23,M,N/A,N/A,Perfecto
274,Zapatillas,Nike,N/A,N/A,N/A,178,74,32,N/A,42 EU,N/A,Perfecto
275,Camiseta,Hugo Boss,99,86,101,177,78,36,L,N/A,N/A,Perfecto
276,Pantalón,Dockers,N/A,93,107,184,85,39,N/A,N/A,34x32,Demasiado grande
277,Vestido,Mango,86,69,89,161,54,20,S,N/A,N/A,Perfecto
278,Zapatillas,Clarks,N/A,N/A,N/A,174,68,47,N/A,39 EU,N/A,Perfecto
279,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
280,Pantalón,Adidas,N/A,89,103,177,76,34,N/A,N/A,32x32,Demasiado ajustada
281,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
282,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
283,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
284,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
285,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
286,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,N/A,44 EU,N/A,Perfecto
287,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
288,Pantalón,Nike,N/A,91,105,176,79,32,N/A,N/A,33x32,Demasiado ajustada
289,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
290,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,N/A,45 EU,N/A,Perfecto
291,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
292,Pantalón,Zara,N/A,84,99,171,67,26,N/A,N/A,30x30,Perfecto
293,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
294,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,N/A,40 EU,N/A,Perfecto
295,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
296,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,N/A,N/A,32x32,Perfecto
297,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
298,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,N/A,43 EU,N/A,Perfecto
299,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustada
300,Pantalón,Mango,N/A,90,104,177,78,34,M,N/A,N/A,Perfecto
301,Camiseta,Uniqlo,102,90,105,182,83,37,XL,N/A,N/A,Perfecto
302,Pantalón,Zara Men,N/A,92,106,179,81,39,34x32,N/A,34x32,Perfecto
